Location,Timestamp,Question6a,Question6b,Question7a,Question7b,Question8a,Question8b,Question9a,Question9b,Question10a,Question10b,Question11a,Question11b,Question12a,Question12b,Question13a,Question13b,Question14,Question15,Technical/Theorical mark,Pre/Exam mark,Coordinate,T1,T2,T1 Floating,T2 Floating,T1 Final,T2 Final,ABS1,ABS2,Category
Sydney,12/04/2019,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,7,5,4,3,"4,3",5,3.75,0.716501583,1.081593705,5.716501583,4.831593705,5.716501583,4.831593705,IT Management
Sydney,12/04/2019,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,7,5,5,"5,5",6.25,6.25,0.577525327,0.515610696,6.827525327,6.765610696,6.827525327,6.765610696,Social marketing
Sydney,12/04/2019,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,6,5,4,4,"4,4",5,5,-0.352763526,-1.22573683,4.647236474,3.77426317,4.647236474,3.77426317,Design Skills
Sydney,12/04/2019,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,9,5,5,"5,5",6.25,6.25,-1.487595472,0.342054507,4.762404528,6.592054507,4.762404528,6.592054507,software engineering
Sydney,12/04/2019,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,10,5,2,"5,2",6.25,2.5,0.595867883,1.365756398,6.845867883,3.865756398,6.845867883,3.865756398,IT Management
Sydney,12/04/2019,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,6,0,3,3,"3,3",3.75,3.75,-1.12410733,1.556521727,2.62589267,5.306521727,2.62589267,5.306521727,software engineering
Sydney,12/04/2019,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,8,0,3,5,"3,5",3.75,6.25,1.422568822,-0.534514226,5.172568822,5.715485774,5.172568822,5.715485774,Social marketing
Sydney,12/04/2019,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,2,6,2,6,"2,6",2.5,7.5,0.481446782,-0.528012605,2.981446782,6.971987395,2.981446782,6.971987395,software engineering
Sydney,12/04/2019,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,4,10,3,2,"3,2",3.75,2.5,1.054149474,0.887062994,4.804149474,3.387062994,4.804149474,3.387062994,Design Skills
Sydney,12/04/2019,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,7,9,6,4,"6,4",7.5,5,0.504454069,0.816392018,8.004454069,5.816392018,8.004454069,5.816392018,Social marketing
Sydney,12/04/2019,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,3,0,6,5,"6,5",7.5,6.25,-1.287794449,0.881967,6.212205551,7.131967,6.212205551,7.131967,Social marketing
Sydney,12/04/2019,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,10,0,3,6,"3,6",3.75,7.5,0.077100998,-0.483057606,3.827100998,7.016942394,3.827100998,7.016942394,software engineering
Sydney,12/04/2019,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,10,5,3,5,"3,5",3.75,6.25,-0.992677842,0.221137766,2.757322158,6.471137766,2.757322158,6.471137766,software engineering
Sydney,12/04/2019,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,5,3,2,3,"2,3",2.5,3.75,0.62334278,-1.01244953,3.12334278,2.73755047,3.12334278,2.73755047,Design Skills
Sydney,12/04/2019,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,10,6,4,5,"4,5",5,6.25,-0.683597529,1.300299314,4.316402471,7.550299314,4.316402471,7.550299314,software engineering
Sydney,12/04/2019,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,6,6,3,5,"3,5",3.75,6.25,-1.074371031,0.395978155,2.675628969,6.645978155,2.675628969,6.645978155,software engineering
Sydney,12/04/2019,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,4,9,6,3,"6,3",7.5,3.75,0.097967119,1.596253142,7.597967119,5.346253142,7.597967119,5.346253142,Social marketing
Sydney,12/04/2019,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,8,5,4,7,"4,7",5,8.75,-0.64828879,-0.563237614,4.35171121,8.186762386,4.35171121,8.186762386,software engineering
Sydney,12/04/2019,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,2,0,3,5,"3,5",3.75,6.25,-0.367721821,-1.417438023,3.382278179,4.832561977,3.382278179,4.832561977,Design Skills
Sydney,12/04/2019,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,9,0,4,4,"4,4",5,5,-0.446759824,0.488559247,4.553240176,5.488559247,4.553240176,5.488559247,software engineering
Sydney,12/04/2019,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,3,8,5,6,"5,6",6.25,7.5,-1.341299631,1.480852499,4.908700369,8.980852499,4.908700369,8.980852499,software engineering
