Age,Education
19,0
18,1
19,0
19,0
20,0
19,1
20,0
20,1
18,0
20,1
18,0
20,0
18,1
18,1
19,0
20,1
19,1
18,0
18,1
18,1
20,0
18,0
18,0
18,0
19,1
20,1
18,1
19,1
18,0
20,0
20,1
18,0
18,1
20,0
18,0
18,0
20,0
18,1
18,1
19,0
20,0
20,0
19,1
18,0
20,1
20,1
18,1
18,1
20,1
20,0
20,0
20,1
18,0
18,0
20,0
20,0
20,1
19,1
18,0
20,0
18,1
19,0
20,1
18,0
18,0
20,0
18,0
19,0
20,1
19,1
20,1
20,0
18,0
20,1
18,1
20,1
20,1
19,0
20,1
20,0
20,1
18,0
18,1
19,1
19,1
18,1
19,0
18,1
20,0
19,0
18,1
20,1
18,0
19,0
18,1
20,0
20,0
18,0
18,0
18,0
19,0
18,1
18,1
18,0
18,0
19,1
18,1
19,0
19,1
18,0
19,1
18,1
18,1
20,1
18,1
18,0
19,0
19,1
20,1
18,1
18,0
18,1
18,0
19,1
20,1
18,1
18,0
20,1
19,1
20,1
19,1
18,1
19,0
18,0
19,0
20,1
18,1
19,1
18,1
19,1
18,1
18,1
18,0
18,1
18,1
18,1
20,0
19,1
18,0
19,0
18,0
20,1
19,1
18,0
19,1
18,0
18,0
19,1
19,0
20,1
19,1
18,0
20,0
20,1
19,1
20,1
18,1
20,0
18,1
19,0
19,1
20,0
18,0
18,0
18,0
20,1
20,0
20,1
18,1
20,1
18,0
20,0
20,0
18,1
18,1
20,1
20,1
19,1
19,0
19,0
18,1
19,0
20,0
19,0
19,1
20,1
20,0
19,1
20,0
19,1
20,0
20,0
18,1
20,0
19,1
19,1
18,0
19,0
20,0
20,0
18,1
18,0
20,0
20,0
20,0
20,0
20,0
20,1
18,1
18,0
20,1
20,1
20,0
20,0
20,0
19,1
19,1
20,1
18,0
20,0
18,1
19,0
18,0
18,0
19,1
19,0
19,0
19,1
19,1
19,0
19,0
18,1
18,0
19,0
19,1
18,0
20,0
18,0
20,1
18,1
18,1
19,1
20,0
20,1
20,0
19,1
18,0
20,0
20,1
19,0
19,0
20,0
19,1
20,0
18,1
19,0
19,0
18,0
18,1
20,0
19,0
20,0
20,0
19,1
19,0
18,0
18,0
19,1
20,1
18,0
20,0
20,0
20,1
18,1
19,1
20,1
18,0
20,0
18,0
18,0
20,1
19,0
18,1
20,0
19,1
20,0
20,0
18,1
18,0
18,0
