Age,Degree,Major,Edu,Skills
25,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",
21,Postgraduate,IT Security,"Postgraduate,IT Security",
21,Undergraduate,Network System,"Undergraduate,Network System",   angularjs html css 
21,Undergraduate,Data Science,"Undergraduate,Data Science",   html 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",   angularjs html javascript 
24,Postgraduate,Network System,"Postgraduate,Network System",   html css 
22,Postgraduate,Network System,"Postgraduate,Network System",   javascript css html 
24,Postgraduate,IT Security,"Postgraduate,IT Security",   
25,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   angularjs 
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   html 
24,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",   
21,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   javascript css angularjs html 
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",   
22,Postgraduate,Network System,"Postgraduate,Network System",   css html 
21,Undergraduate,Network System,"Undergraduate,Network System",   angularjs css html 
22,Undergraduate,Data Science,"Undergraduate,Data Science",   angularjs 
21,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   javascript angularjs 
23,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   
21,Undergraduate,IT Security,"Undergraduate,IT Security",   html angularjs css javascript 
25,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   css html javascript angularjs 
24,Undergraduate,Design Skills,"Undergraduate,Design Skills", css html 
22,Undergraduate,Network System,"Undergraduate,Network System",   javascript html css angularjs 
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",   javascript html 
24,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",   angularjs javascript html 
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",   angularjs html 
23,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   angularjs javascript 
25,Undergraduate,Network System,"Undergraduate,Network System",   css javascript html angularjs 
23,Undergraduate,IT Security,"Undergraduate,IT Security",   html css angularjs 
22,Undergraduate,IT Management,"Undergraduate,IT Management",   angularjs css 
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",   css javascript html 
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",   html angularjs javascript 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",   
22,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",   css javascript angularjs html 
23,Postgraduate,IT Security,"Postgraduate,IT Security",   
22,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",  html 
21,Postgraduate,IT Management,"Postgraduate,IT Management",   css javascript angularjs 
24,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",javascript css html 
21,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   
23,Undergraduate,IT Management,"Undergraduate,IT Management",   javascript 
24,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   html javascript css angularjs 
25,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",   html angularjs css javascript 
23,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",javascript   
24,Postgraduate,Network System,"Postgraduate,Network System",javascript css html 
24,Postgraduate,IT Security,"Postgraduate,IT Security",   angularjs 
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",   javascript angularjs css 
25,Postgraduate,Design Skills,"Postgraduate,Design Skills",   javascript html 
21,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",javascript   
25,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",  html 
24,Postgraduate,Design Skills,"Postgraduate,Design Skills",   css javascript 
24,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   angularjs 
22,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   angularjs html 
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",   angularjs html css javascript 
22,Undergraduate,Design Skills,"Undergraduate,Design Skills",   javascript html 
22,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   css html javascript 
22,Undergraduate,Data Science,"Undergraduate,Data Science",   html angularjs 
25,Postgraduate,Data Science,"Postgraduate,Data Science",   angularjs css html javascript 
23,Undergraduate,IT Security,"Undergraduate,IT Security",   
21,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information", css html 
25,Undergraduate,Network System,"Undergraduate,Network System",   
22,Undergraduate,Design Skills,"Undergraduate,Design Skills",   
22,Postgraduate,Network System,"Postgraduate,Network System",   html angularjs css javascript 
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",   javascript html 
22,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   html 
25,Postgraduate,Network System,"Postgraduate,Network System",   angularjs 
22,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   javascript angularjs 
22,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",   angularjs 
23,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   css 
22,Postgraduate,Network System,"Postgraduate,Network System",javascript   angularjs
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",   angularjs javascript css html 
21,Undergraduate,IT Management,"Undergraduate,IT Management",  html 
21,Undergraduate,Network System,"Undergraduate,Network System",   
23,Undergraduate,Network System,"Undergraduate,Network System",   javascript angularjs css html 
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",   javascript css 
21,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   
25,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   
25,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",   javascript 
23,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   javascript html css 
22,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",javascript css html 
25,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   javascript 
22,Undergraduate,Data Science,"Undergraduate,Data Science",   
25,Undergraduate,IT Management,"Undergraduate,IT Management",   html 
25,Postgraduate,Design Skills,"Postgraduate,Design Skills",   javascript 
21,Undergraduate,Design Skills,"Undergraduate,Design Skills",   
23,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   css 
24,Postgraduate,Network System,"Postgraduate,Network System",   javascript html angularjs 
24,Postgraduate,Data Science,"Postgraduate,Data Science",   angularjs css javascript html 
22,Undergraduate,Network System,"Undergraduate,Network System",javascript   
25,Undergraduate,Design Skills,"Undergraduate,Design Skills",   css 
22,Postgraduate,Data Science,"Postgraduate,Data Science",   javascript 
22,Undergraduate,IT Security,"Undergraduate,IT Security",   
22,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   angularjs 
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   css html angularjs 
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",   css angularjs 
24,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   css 
23,Postgraduate,Network System,"Postgraduate,Network System",   
22,Undergraduate,Network System,"Undergraduate,Network System",   css angularjs html 
25,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   
22,Postgraduate,IT Management,"Postgraduate,IT Management",   javascript css angularjs 
21,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   css 
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information", css html angularjs
24,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",   javascript html angularjs 
24,Undergraduate,Design Skills,"Undergraduate,Design Skills",javascript css html 
21,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   html css angularjs javascript 
22,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",javascript css html 
24,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",javascript css html angularjs
23,Postgraduate,IT Management,"Postgraduate,IT Management",   angularjs css html 
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   javascript angularjs html 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",   
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",   javascript 
25,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",   javascript html 
21,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",   
23,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",javascript css html 
24,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",   html javascript css angularjs 
23,Undergraduate,IT Management,"Undergraduate,IT Management",   angularjs 
23,Undergraduate,Network System,"Undergraduate,Network System", css html 
23,Undergraduate,Data Science,"Undergraduate,Data Science",   css 
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",   html 
25,Postgraduate,IT Security,"Postgraduate,IT Security",   
24,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   
23,Undergraduate,Data Science,"Undergraduate,Data Science",   css javascript angularjs html 
23,Postgraduate,Data Science,"Postgraduate,Data Science",   
25,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   html css 
21,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",   css html 
25,Undergraduate,IT Management,"Undergraduate,IT Management",   angularjs html css 
21,Postgraduate,IT Security,"Postgraduate,IT Security",   css 
22,Undergraduate,IT Management,"Undergraduate,IT Management",
23,Undergraduate,Data Science,"Undergraduate,Data Science",
24,Postgraduate,IT Security,"Postgraduate,IT Security",
25,Postgraduate,IT Security,"Postgraduate,IT Security",
25,Undergraduate,Design Skills,"Undergraduate,Design Skills",
22,Undergraduate,IT Security,"Undergraduate,IT Security",
22,Undergraduate,Design Skills,"Undergraduate,Design Skills",
24,Undergraduate,Network System,"Undergraduate,Network System",   javascript css html 
22,Undergraduate,Network System,"Undergraduate,Network System",javascript css html 
23,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",javascript   angularjs
22,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   
23,Undergraduate,IT Security,"Undergraduate,IT Security",   angularjs javascript html css 
21,Postgraduate,Network System,"Postgraduate,Network System",javascript   angularjs
24,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",javascript css html 
23,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   css html angularjs javascript 
23,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   javascript angularjs html css 
25,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",javascript   
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",   angularjs css html 
21,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",   angularjs javascript html css 
