Location,Timestamp,Question6a,Question6b,Question7a,Question7b,Question8a,Question8b,Question9a,Question9b,Question10a,Question10b,Question11a,Question11b,Question12a,Question12b,Question13a,Question13b,Question14,Question15,Technical/Theorical mark,Pre/Exam mark
Sydney,2019-04-12,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,9,3,4
Sydney,2019-04-12,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,9,1,3,6
Sydney,2019-04-12,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,4,6,5,2
Sydney,2019-04-12,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,8,3,4,1
Sydney,2019-04-12,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,5,0,4,4
Sydney,2019-04-12,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,9,5,3,2
Sydney,2019-04-12,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,5,5,2,4
Sydney,2019-04-12,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,5,0,4,4
Sydney,2019-04-12,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,6,7,5,5
Sydney,2019-04-12,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,10,5,5,4
Sydney,2019-04-12,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,7,7,6,5
Sydney,2019-04-12,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,8,2,7,2
Sydney,2019-04-12,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,6,5,3,3
Sydney,2019-04-12,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,8,1,5,5
Sydney,2019-04-12,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,8,5,4,5
Sydney,2019-04-12,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,5,4,5,2
Sydney,2019-04-12,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,7,6,3,5
Sydney,2019-04-12,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,3,5,6
Sydney,2019-04-12,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,4,3,5
Sydney,2019-04-12,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,8,6,3,6
Sydney,2019-04-12,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,3,10,4,4
Sydney,2019-04-12,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,3,7,3,3
